Statistical profiling result from isolate-0x102800000-v8.log, (6258 ticks, 93 unaccounted, 0 excluded).

 [Shared libraries]:
   ticks  total  nonlib   name
    470    7.5%          /usr/local/bin/node
     66    1.1%          /usr/lib/system/libsystem_kernel.dylib
     47    0.8%          /usr/lib/system/libsystem_platform.dylib
     11    0.2%          /usr/lib/system/libsystem_pthread.dylib
      9    0.1%          /usr/lib/system/libsystem_c.dylib

 [JavaScript]:
   ticks  total  nonlib   name
    275    4.4%    4.9%  Stub: LoadICStub
     65    1.0%    1.1%  Stub: StringAddStub_CheckNone_Tenured
     50    0.8%    0.9%  LazyCompile: ~resolveName /Users/noj/Documents/dev/personal/TypeScript/built/local/tsc.js:13670:29
     50    0.8%    0.9%  LazyCompile: *scan /Users/noj/Documents/dev/personal/TypeScript/built/local/tsc.js:3626:22
     50    0.8%    0.9%  LazyCompile: *emitPos /Users/noj/Documents/dev/personal/TypeScript/built/local/tsc.js:27503:25
     38    0.6%    0.7%  Stub: FastNewClosureStub
     37    0.6%    0.7%  KeyedLoadIC: A keyed load IC from the snapshot {1}
     36    0.6%    0.6%  Stub: ToBooleanStub(Undefined,SpecObject)
     29    0.5%    0.5%  LazyCompile: *skipTrivia /Users/noj/Documents/dev/personal/TypeScript/built/local/tsc.js:3042:24
     27    0.4%    0.5%  Builtin: ArgumentsAdaptorTrampoline
     26    0.4%    0.5%  LazyCompile: *encodeLastRecordedSourceMapSpan /Users/noj/Documents/dev/personal/TypeScript/built/local/tsc.js:27475:49
     20    0.3%    0.4%  LazyCompile: *getTypeOfVariableOrParameterOrProperty /Users/noj/Documents/dev/personal/TypeScript/built/local/tsc.js:15544:56
     19    0.3%    0.3%  LazyCompile: *forEachChild /Users/noj/Documents/dev/personal/TypeScript/built/local/tsc.js:6732:26
     19    0.3%    0.3%  Handler: An IC handler from the snapshot {7}
     18    0.3%    0.3%  LazyCompile: *bindChildren /Users/noj/Documents/dev/personal/TypeScript/built/local/tsc.js:11787:30
